date_ref,district_ref,total_cases,total_cured,total_deaths,increase_cases,percent_increase_cases
19,75,60431,60450,596,0,0.0
19,76,83080,83324,704,0,0.0
19,77,134891,134613,1494,0,0.0
20,1,620057,624842,3989,0,0.0
20,2,44697,44585,468,0,0.0
20,3,45870,46212,243,0,0.0
20,4,73688,73672,582,0,0.0
20,5,46684,46503,429,0,0.0
20,6,31510,31445,293,0,0.0
20,7,52962,53098,437,0,0.0
20,8,60966,60955,601,0,0.0
20,9,44498,44425,351,0,0.0
20,10,93481,94237,411,0,0.0
20,11,73763,74536,305,0,0.0
20,12,50287,50654,282,0,0.0
20,13,21453,21373,236,0,0.0
20,14,85627,86549,796,0,0.0
20,15,23162,23071,250,0,0.0
20,16,39553,39397,438,0,0.0
20,17,33232,33127,292,0,0.0
20,18,21465,21465,246,0,0.0
20,19,31736,31558,385,0,0.0
20,20,43080,42837,541,0,0.0
20,21,22404,22296,228,0,0.0
20,22,36018,36049,447,0,0.0
20,23,93161,93275,730,0,0.0
20,24,32325,32166,318,0,0.0
20,25,36728,36580,315,0,0.0
20,26,23382,23237,284,0,0.0
20,27,20262,20188,293,0,0.0
20,28,30356,30070,634,0,0.0
20,29,39097,39030,579,0,0.0
20,30,31771,31488,506,0,0.0
20,31,52775,52460,612,0,0.0
20,32,51184,50965,556,0,0.0
20,33,50757,50812,526,0,0.0
20,34,31901,31688,380,0,0.0
20,35,43654,43481,540,0,0.0
20,36,50729,50515,503,0,0.0
20,37,54662,54494,465,0,0.0
20,38,42260,42126,451,0,0.0
20,39,39919,39743,424,0,0.0
20,40,79021,79072,553,0,0.0
20,41,31707,31745,240,0,0.0
20,42,83431,83212,580,0,0.0
20,43,35681,35553,325,0,0.0
20,44,49357,48914,577,0,0.0
20,45,39160,39015,287,0,0.0
20,46,50730,50570,601,0,0.0
20,47,48400,48305,409,0,0.0
20,48,83789,83893,664,1,0.0012
20,49,46465,46345,440,0,0.0
20,50,64769,64579,525,0,0.0
20,51,40589,40686,428,0,0.0
20,52,47869,47953,448,0,0.0
20,53,30699,30660,280,0,0.0
20,54,42298,42186,385,0,0.0
20,55,51359,51423,384,0,0.0
20,56,46827,46557,598,0,0.0
20,57,175451,175406,1459,0,0.0
20,58,99924,99678,812,0,0.0
20,59,45857,45442,556,0,0.0
20,60,64673,64104,774,0,0.0
20,61,41708,41253,569,0,0.0
20,62,44629,44419,626,0,0.0
20,63,12720,12590,183,0,0.0
20,64,107957,107589,1026,0,0.0
20,65,48923,48663,427,0,0.0
20,66,56760,56658,507,0,0.0
20,67,51594,51316,474,0,0.0
20,68,46131,46116,525,0,0.0
20,69,63820,63681,499,0,0.0
20,70,61533,61358,605,0,0.0
20,71,93400,93005,826,0,0.0
20,72,33439,33280,481,0,0.0
20,73,92373,92074,950,0,0.0
20,74,101571,101190,1334,0,0.0
20,75,60431,60453,596,0,0.0
20,76,83080,83324,704,0,0.0
20,77,134891,134613,1494,0,0.0
21,1,620059,624846,3990,2,0.0003
21,2,44697,44585,468,0,0.0
21,3,45870,46212,243,0,0.0
21,4,73688,73673,582,0,0.0
21,5,46684,46503,429,0,0.0
21,6,31510,31445,293,0,0.0
21,7,52962,53098,437,0,0.0
21,8,60966,60955,601,0,0.0
21,9,44498,44425,351,0,0.0
21,10,93481,94238,411,0,0.0
21,11,73764,74538,305,1,0.0014
21,12,50287,50654,282,0,0.0
21,13,21453,21373,236,0,0.0
21,14,85628,86549,796,1,0.0012
21,15,23162,23071,250,0,0.0
21,16,39553,39397,438,0,0.0
21,17,33232,33127,292,0,0.0
21,18,21465,21465,246,0,0.0
21,19,31736,31558,385,0,0.0
21,20,43080,42837,541,0,0.0
21,21,22404,22296,228,0,0.0
21,22,36018,36049,447,0,0.0
21,23,93161,93275,730,0,0.0
21,24,32325,32166,318,0,0.0
21,25,36729,36580,315,1,0.0027
21,26,23382,23237,284,0,0.0
21,27,20263,20188,293,1,0.0049
21,28,30356,30070,634,0,0.0
21,29,39097,39030,579,0,0.0
21,30,31771,31488,506,0,0.0
21,31,52776,52460,612,1,0.0019
21,32,51184,50965,556,0,0.0
21,33,50758,50812,526,1,0.002
21,34,31901,31688,380,0,0.0
21,35,43655,43481,540,1,0.0023
21,36,50731,50515,503,2,0.0039
21,37,54662,54494,465,0,0.0
21,38,42260,42126,451,0,0.0
21,39,39919,39743,424,0,0.0
21,40,79021,79073,553,0,0.0
21,41,31707,31745,240,0,0.0
21,42,83432,83212,580,1,0.0012
21,43,35682,35553,325,1,0.0028
21,44,49357,48914,577,0,0.0
21,45,39160,39015,287,0,0.0
21,46,50731,50570,601,1,0.002
21,47,48400,48305,409,0,0.0
21,48,83790,83893,664,1,0.0012
21,49,46465,46345,440,0,0.0
21,50,64769,64579,525,0,0.0
21,51,40590,40686,428,1,0.0025
21,52,47869,47953,448,0,0.0
21,53,30701,30661,280,2,0.0065
21,54,42299,42187,385,1,0.0024
21,55,51359,51423,384,0,0.0
21,56,46828,46557,598,1,0.0021
21,57,175454,175408,1459,3,0.0017
21,58,99925,99678,812,1,0.001
21,59,45857,45442,556,0,0.0
21,60,64675,64104,774,2,0.0031
21,61,41708,41253,569,0,0.0
21,62,44629,44419,626,0,0.0
21,63,12720,12590,183,0,0.0
21,64,107957,107590,1026,0,0.0
21,65,48923,48663,427,0,0.0
21,66,56760,56658,507,0,0.0
21,67,51594,51316,474,0,0.0
21,68,46134,46118,525,3,0.0065
21,69,63821,63681,499,1,0.0016
21,70,61533,61359,605,0,0.0
21,71,93400,93005,826,0,0.0
21,72,33439,33280,481,0,0.0
21,73,92373,92074,950,0,0.0
21,74,101572,101192,1334,1,0.001
21,75,60432,60453,596,1,0.0017
21,76,83082,83324,704,2,0.0024
21,77,134891,134613,1494,0,0.0
22,1,620063,624846,3990,4,0.0006
22,2,44697,44585,468,0,0.0
22,3,45870,46212,243,0,0.0
